No. Anggota,Daerah pemilihan,Nama,Jenis Kelamin,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
546,Lampung II,Marwan Cik Asan,Laki-Laki,Komisi XI,Demokrat,-,Lampung,Koalisi Pemerintah
86,Kepulauan Bangka Belitung,Hj. Melati S.H.,Perempuan,Komisi XIII,Gerindra,-,Kepulauan Bangka Belitung,Koalisi Pemerintah
172,Kepulauan Bangka Belitung,Ir. Rudianto Tjen,Laki-Laki,Komisi I,PDI-P,-,Kepulauan Bangka Belitung,Oposisi
289,Kepulauan Bangka Belitung,"Bambang Patijaya S.E., M.M.",Laki-Laki,Komisi XII,Golkar,Ketua Komisi XII DPR RI,Kepulauan Bangka Belitung,Koalisi Pemerintah
87,Kepulauan Riau,Ir. H. M. Endipat Wijaya M.M.,Laki-Laki,Komisi I,Gerindra,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Kepulauan Riau,Koalisi Pemerintah
173,Kepulauan Riau,Mayjen. TNI (Purn.) Sturman Panjaitan S.H.,Laki-Laki,Komisi IV,PDI-P,Wakil Ketua Badan Legislasi DPR RI,Kepulauan Riau,Oposisi
290,Kepulauan Riau,Rizki Faisal,Laki-Laki,Komisi VI,Golkar,-,Kepulauan Riau,Koalisi Pemerintah
380,Kepulauan Riau,Randi Zulmariadi S.M.,Laki-Laki,Komisi VI,NasDem,-,Kepulauan Riau,Oposisi
13,DKI Jakarta I,H. Hasbiallah Ilyas,Laki-Laki,Komisi III,PKB,-,DKI Jakarta,Oposisi
88,DKI Jakarta I,"Dr. Habiburokhman S.H., M.H.",Laki-Laki,Komisi III,Gerindra,Ketua Komisi III DPR RI,DKI Jakarta,Koalisi Pemerintah
174,DKI Jakarta I,Putra Nababan,Laki-Laki,Komisi VII,PDI-P,-,DKI Jakarta,Oposisi
447,DKI Jakarta I,Dr. H. Mardani Ali Sera M.Eng.,Laki-Laki,Komisi II,PKS,Ketua Badan Kerjasama Antar Parlemen DPR RI,DKI Jakarta,Oposisi
448,DKI Jakarta I,Dr. Hj. Anis Byarwati,Perempuan,Komisi XI,PKS,-,DKI Jakarta,Oposisi
499,DKI Jakarta I,H. Eko Hendro Purnomo S.Sos.,Laki-Laki,Komisi VI,PAN,Wakil Ketua Komisi VI DPR RI,DKI Jakarta,Koalisi Pemerintah
14,DKI Jakarta II,Dr. Hj. Ida Fauziyah M.Si.,Perempuan,Komisi VI,PKB,-,DKI Jakarta,Oposisi
89,DKI Jakarta II,"Hj. Himmatul Aliyah S.Sos., M.Si.",Perempuan,Komisi X,Gerindra,Wakil Ketua Komisi X DPR RI,DKI Jakarta,Koalisi Pemerintah
175,DKI Jakarta II,Once Mekel S.H.,Laki-Laki,Komisi X,PDI-P,-,DKI Jakarta,Oposisi
291,DKI Jakarta II,"Abraham Sridjaja S.H., M.H., C.L.A.",Laki-Laki,Komisi I,Golkar,-,DKI Jakarta,Koalisi Pemerintah
449,DKI Jakarta II,Dr. H. M. Hidayat Nur Wahid M.A.,Laki-Laki,Komisi VIII,PKS,Wakil Ketua MPR RI,DKI Jakarta,Oposisi
450,DKI Jakarta II,Dr. Hj. Kurniasih Mufidayati M.Si.,Perempuan,Komisi IX,PKS,-,DKI Jakarta,Oposisi
500,DKI Jakarta II,Surya Utama S.I.P.,Laki-Laki,Komisi IX,PAN,-,DKI Jakarta,Koalisi Pemerintah
90,DKI Jakarta III,Rahayu Saraswati D. Djojohadikusumo,Perempuan,Komisi VII,Gerindra,Wakil Ketua Komisi VII DPR RI,DKI Jakarta,Koalisi Pemerintah
176,DKI Jakarta III,Charles Honoris,Laki-Laki,Komisi IX,PDI-P,Wakil Ketua Komisi IX DPR RI,DKI Jakarta,Oposisi
177,DKI Jakarta III,Prof. Asc. Dr. Darmadi Durianto,Laki-Laki,Komisi VI,PDI-P,-,DKI Jakarta,Oposisi
292,DKI Jakarta III,Erwin Aksa,Laki-Laki,Komisi XI,Golkar,-,DKI Jakarta,Koalisi Pemerintah
381,DKI Jakarta III,"Ahmad Sahroni S.E., M.I.Kom.",Laki-Laki,Komisi III,NasDem,Wakil Ketua Komisi III DPR RI,DKI Jakarta,Oposisi
451,DKI Jakarta III,Drs. H. Adang Daradjatun,Laki-Laki,Komisi III,PKS,-,DKI Jakarta,Oposisi
501,DKI Jakarta III,"Sigit Purnomo S.A.P., S.H.",Laki-Laki,Komisi VIII,PAN,-,DKI Jakarta,Koalisi Pemerintah
547,DKI Jakarta III,Nurwayah S.Pd.,Perempuan,Komisi XII,Demokrat,-,DKI Jakarta,Koalisi Pemerintah
15,Jawa Barat I,Habib Syarief Muhammad,Laki-Laki,Komisi X,PKB,-,Jawa Barat,Oposisi
91,Jawa Barat I,Melly Goeslaw,Perempuan,Komisi X,Gerindra,-,Jawa Barat,Koalisi Pemerintah
178,Jawa Barat I,Junico B. P. Siahaan S.E.,Laki-Laki,Komisi I,PDI-P,-,Jawa Barat,Oposisi
293,Jawa Barat I,"Dr. Hj. Atalia Praratya S.I.P., M.I.Kom.",Perempuan,Komisi VIII,Golkar,-,Jawa Barat,Koalisi Pemerintah
294,Jawa Barat I,Nurul Arifin M.Si.,Perempuan,Komisi I,Golkar,-,Jawa Barat,Koalisi Pemerintah
452,Jawa Barat I,"Hj. Ledia Hanifa A. S.Si., M.Psi.T.",Perempuan,Komisi X,PKS,-,Jawa Barat,Oposisi
548,Jawa Barat I,H. Fathi,Laki-Laki,Komisi XI,Demokrat,-,Jawa Barat,Koalisi Pemerintah
16,Jawa Barat II,H. Cucun Ahmad Syamsurijal,Laki-Laki,Komisi III,PKB,Wakil Ketua DPR-RI,Jawa Barat,Oposisi
17,Jawa Barat II,Asep Romy Romaya,Laki-Laki,Komisi IX,PKB,-,Jawa Barat,Oposisi
92,Jawa Barat II,Rachel Maryam Sayidina,Perempuan,Komisi I,Gerindra,-,Jawa Barat,Koalisi Pemerintah
179,Jawa Barat II,Denny Cagur S.Pd.,Laki-Laki,Komisi X,PDI-P,-,Jawa Barat,Oposisi
295,Jawa Barat II,Ir. H. Anang Susanto Suhendar M.Si.,Laki-Laki,Komisi XIII,Golkar,-,Jawa Barat,Koalisi Pemerintah
296,Jawa Barat II,"Dr. H. Dadang M. Naser S.H., M.I.Pol.",Laki-Laki,Komisi IV,Golkar,-,Jawa Barat,Koalisi Pemerintah
382,Jawa Barat II,Rajiv,Laki-Laki,Komisi IV,NasDem,-,Jawa Barat,Oposisi
453,Jawa Barat II,"Dr. H. Ahmad Heryawan Lc., M.Si.",Laki-Laki,Komisi I,PKS,Wakil Ketua Komisi I DPR RI,Jawa Barat,Oposisi
502,Jawa Barat II,"Ahmad Najib Qodratullah S.E., M.H.",Laki-Laki,Komisi XI,PAN,-,Jawa Barat,Koalisi Pemerintah
549,Jawa Barat II,"Dr. H. Dede Yusuf Macan Effendi S.T., M.I.Pol.",Laki-Laki,Komisi II,Demokrat,Wakil Ketua Komisi II DPR RI,Jawa Barat,Koalisi Pemerintah
18,Jawa Barat III,"Neng Eem Marhamah Zulfa Hiz S.Th.I., M.M.",Perempuan,Komisi XI,PKB,-,Jawa Barat,Oposisi
93,Jawa Barat III,Kamrussamad,Laki-Laki,Komisi XI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
94,Jawa Barat III,"Dr. Ir. Hj. Endang Setyawati Thohari DESS., M.Sc.",Perempuan,Komisi IV,Gerindra,-,Jawa Barat,Koalisi Pemerintah
180,Jawa Barat III,H. Muhamad Abdul Aziz Sefudin,Laki-Laki,Komisi VIII,PDI-P,-,Jawa Barat,Oposisi
297,Jawa Barat III,Isfhan Taufik Munggaran,Laki-Laki,Komisi XIII,Golkar,-,Jawa Barat,Koalisi Pemerintah
298,Jawa Barat III,Ilham Permana,Laki-Laki,Komisi VII,Golkar,-,Jawa Barat,Koalisi Pemerintah
383,Jawa Barat III,Ananda Tohpati N. R.,Laki-Laki,Komisi IV,NasDem,-,Jawa Barat,Oposisi
454,Jawa Barat III,H. Ecky Awal Mucharam,Laki-Laki,Komisi XI,PKS,-,Jawa Barat,Oposisi
503,Jawa Barat III,H. Eddy Soeparno,Laki-Laki,Komisi XII,PAN,Wakil Ketua MPR RI,Jawa Barat,Koalisi Pemerintah
19,Jawa Barat IV,Zainul Munasichin,Laki-Laki,Komisi IX,PKB,-,Jawa Barat,Oposisi
95,Jawa Barat IV,Heri Gunawan,Laki-Laki,Komisi II,Gerindra,-,Jawa Barat,Koalisi Pemerintah
299,Jawa Barat IV,"Hj. Dewi Asmara S.H., M.H.",Perempuan,Komisi XIII,Golkar,Wakil Ketua Komisi XIII DPR RI,Jawa Barat,Koalisi Pemerintah
455,Jawa Barat IV,drh. Slamet,Laki-Laki,Komisi IV,PKS,-,Jawa Barat,Oposisi
504,Jawa Barat IV,"Dr. Hj. Desy Ratnasari S.Psi., M.Si., M.Psi.",Perempuan,Komisi I,PAN,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Barat,Koalisi Pemerintah
550,Jawa Barat IV,"Iman Adinugraha S.E., Akt.",Laki-Laki,Komisi VII,Demokrat,-,Jawa Barat,Koalisi Pemerintah
20,Jawa Barat V,Tommy Kurniawan,Laki-Laki,Komisi XI,PKB,-,Jawa Barat,Oposisi
96,Jawa Barat V,Drs. H. Mulyadi M.M.A.,Laki-Laki,Komisi I,Gerindra,-,Jawa Barat,Koalisi Pemerintah
97,Jawa Barat V,Hj. Marlyn Maisarah,Perempuan,Komisi V,Gerindra,-,Jawa Barat,Koalisi Pemerintah
181,Jawa Barat V,Adian Y. Y. Napitupulu S.H.,Laki-Laki,Komisi V,PDI-P,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Oposisi
300,Jawa Barat V,Ravindra Airlangga M.S.,Laki-Laki,Komisi IX,Golkar,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Barat,Koalisi Pemerintah
384,Jawa Barat V,Asep Wahyuwijaya,Laki-Laki,Komisi VI,NasDem,-,Jawa Barat,Oposisi
456,Jawa Barat V,drh. H. Achmad Ru'yat M.Si.,Laki-Laki,Komisi IX,PKS,-,Jawa Barat,Oposisi
505,Jawa Barat V,"Primus Yustisio S.E., M.A.P.",Laki-Laki,Komisi XI,PAN,-,Jawa Barat,Koalisi Pemerintah
551,Jawa Barat V,H. Anton Sukartono Suratto M.Si.,Laki-Laki,Komisi I,Demokrat,Wakil Ketua Komisi I DPR RI,Jawa Barat,Koalisi Pemerintah
21,Jawa Barat VI,H. Sudjatmiko S.T.,Laki-Laki,Komisi V,PKB,-,Jawa Barat,Oposisi
98,Jawa Barat VI,Ir. H. Nuroji,Laki-Laki,Komisi IX,Gerindra,-,Jawa Barat,Koalisi Pemerintah
182,Jawa Barat VI,Sukur H. Nababan S.T.,Laki-Laki,Komisi IX,PDI-P,-,Jawa Barat,Oposisi
301,Jawa Barat VI,Ranny Fahd Arafiq,Perempuan,Komisi IX,Golkar,-,Jawa Barat,Koalisi Pemerintah
457,Jawa Barat VI,Mahfudz Abdurrahman S.Sos.,Laki-Laki,Komisi X,PKS,Wakil Ketua Komisi X DPR RI,Jawa Barat,Oposisi
458,Jawa Barat VI,"H. Muhammad Kholid S.E., M.Si.",Laki-Laki,Komisi XI,PKS,-,Jawa Barat,Oposisi
22,Jawa Barat VII,Syaiful Huda,Laki-Laki,Komisi V,PKB,Wakil Ketua Komisi V DPR RI,Jawa Barat,Oposisi
99,Jawa Barat VII,Dra. Hj. Wardatul Asriah,Perempuan,Komisi VIII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
