No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
501,DKI Jakarta III,,"Sigit Purnomo S.A.P., S.H.",Komisi VIII,,PAN,50.222,
547,DKI Jakarta III,,Nurwayah S.Pd.,Komisi XII,,Demokrat,34.661,
15,Jawa Barat I,,Habib Syarief Muhammad,Komisi X,,PKB,51.801,
91,Jawa Barat I,,Melly Goeslaw,Komisi X,,Gerindra,75.369,
178,Jawa Barat I,,Junico B. P. Siahaan S.E.,Komisi I,,PDI-P,56.516,
293,Jawa Barat I,,"Dr. Hj. Atalia Praratya S.I.P., M.I.Kom.",Komisi VIII,,Golkar,234.065,
294,Jawa Barat I,,Nurul Arifin M.Si.,Komisi I,,Golkar,63.203,
452,Jawa Barat I,,"Hj. Ledia Hanifa A. S.Si., M.Psi.T.",Komisi X,,PKS,131.455,
548,Jawa Barat I,,H. Fathi,Komisi XI,,Demokrat,39.048,
16,Jawa Barat II,,H. Cucun Ahmad Syamsurijal,Komisi III,,PKB,267.788,Wakil Ketua DPR-RI
17,Jawa Barat II,,Asep Romy Romaya,Komisi IX,,PKB,78.772,
92,Jawa Barat II,,Rachel Maryam Sayidina,Komisi I,,Gerindra,114.749,
179,Jawa Barat II,,Denny Cagur S.Pd.,Komisi X,,PDI-P,58.043,
295,Jawa Barat II,,Dr. H. TB. Ace Hasan Syadzily M.Si.,,,Golkar,107.704,[Ket. 11]
295,Jawa Barat II,,Ir. H. Anang Susanto Suhendar M.Si.,Komisi XIII,,Golkar,100.315,[Ket. 12][3]
296,Jawa Barat II,,"Dr. H. Dadang M. Naser S.H., M.I.Pol.",Komisi IV,,Golkar,100.690,
382,Jawa Barat II,,Rajiv,Komisi IV,,NasDem,58.018,
453,Jawa Barat II,,"Dr. H. Ahmad Heryawan Lc., M.Si.",Komisi I,,PKS,145.034,Wakil Ketua Komisi I DPR RI
502,Jawa Barat II,,"Ahmad Najib Qodratullah S.E., M.H.",Komisi XI,,PAN,91.769,
549,Jawa Barat II,,"Dr. H. Dede Yusuf Macan Effendi S.T., M.I.Pol.",Komisi II,,Demokrat,210.179,Wakil Ketua Komisi II DPR RI
18,Jawa Barat III,,"Neng Eem Marhamah Zulfa Hiz S.Th.I., M.M.",Komisi XI,,PKB,49.991,
93,Jawa Barat III,,Kamrussamad,Komisi XI,,Gerindra,70.309,
94,Jawa Barat III,,"Dr. Ir. Hj. Endang Setyawati Thohari DESS., M.Sc.",Komisi IV,,Gerindra,54.833,
180,Jawa Barat III,,H. Muhamad Abdul Aziz Sefudin,Komisi VIII,,PDI-P,97.123,
297,Jawa Barat III,,Budhy Setiawan,,,Golkar,74.533,[Ket. 13]
297,Jawa Barat III,,Isfhan Taufik Munggaran,Komisi XIII,,Golkar,39.464,[Ket. 14]
298,Jawa Barat III,,Ilham Permana,Komisi VII,,Golkar,61.731,
383,Jawa Barat III,,Ananda Tohpati N. R.,Komisi IV,,NasDem,24.383,
454,Jawa Barat III,,H. Ecky Awal Mucharam,Komisi XI,,PKS,109.825,
503,Jawa Barat III,,H. Eddy Soeparno,Komisi XII,,PAN,66.703,Wakil Ketua MPR RI
19,Jawa Barat IV,,Zainul Munasichin,Komisi IX,,PKB,63.780,
95,Jawa Barat IV,,Heri Gunawan,Komisi II,,Gerindra,91.748,
299,Jawa Barat IV,,"Hj. Dewi Asmara S.H., M.H.",Komisi XIII,,Golkar,123.216,Wakil Ketua Komisi XIII DPR RI
455,Jawa Barat IV,,drh. Slamet,Komisi IV,,PKS,64.044,
504,Jawa Barat IV,,"Dr. Hj. Desy Ratnasari S.Psi., M.Si., M.Psi.",Komisi I,,PAN,78.306,Wakil Ketua Badan Urusan Rumah Tangga DPR RI
550,Jawa Barat IV,,"Iman Adinugraha S.E., Akt.",Komisi VII,,Demokrat,67.885,
20,Jawa Barat V,,Tommy Kurniawan,Komisi XI,,PKB,100.656,
96,Jawa Barat V,,"Dr. H. Fadli Zon S.S., M.Sc.",,,Gerindra,149.258,[Ket. 15]
96,Jawa Barat V,,Drs. H. Mulyadi M.M.A.,Komisi I,,Gerindra,66.728,[Ket. 16][2]
97,Jawa Barat V,,Hj. Marlyn Maisarah,Komisi V,,Gerindra,82.478,
181,Jawa Barat V,,Adian Y. Y. Napitupulu S.H.,Komisi V,,PDI-P,87.288,Wakil Ketua Badan Aspirasi Masyarakat DPR RI
300,Jawa Barat V,,Ravindra Airlangga M.S.,Komisi IX,,Golkar,152.168,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI
384,Jawa Barat V,,Asep Wahyuwijaya,Komisi VI,,NasDem,63.902,
456,Jawa Barat V,,drh. H. Achmad Ru'yat M.Si.,Komisi IX,,PKS,92.775,
505,Jawa Barat V,,"Primus Yustisio S.E., M.A.P.",Komisi XI,,PAN,128.892,
551,Jawa Barat V,,H. Anton Sukartono Suratto M.Si.,Komisi I,,Demokrat,58.033,Wakil Ketua Komisi I DPR RI
21,Jawa Barat VI,,H. Sudjatmiko S.T.,Komisi V,,PKB,135.241,
98,Jawa Barat VI,,Ir. H. Nuroji,Komisi IX,,Gerindra,74.878,
182,Jawa Barat VI,,Sukur H. Nababan S.T.,Komisi IX,,PDI-P,111.793,
301,Jawa Barat VI,,Ranny Fahd Arafiq,Komisi IX,,Golkar,177.508,
457,Jawa Barat VI,,Mahfudz Abdurrahman S.Sos.,Komisi X,,PKS,118.727,Wakil Ketua Komisi X DPR RI
458,Jawa Barat VI,,"H. Muhammad Kholid S.E., M.Si.",Komisi XI,,PKS,107.251,
22,Jawa Barat VII,,Syaiful Huda,Komisi V,,PKB,82.391,Wakil Ketua Komisi V DPR RI
99,Jawa Barat VII,,"H. Dedi Mulyadi S.H., M.M.",,,Gerindra,375.658[9],[Ket. 17]
99,Jawa Barat VII,,Dra. Hj. Wardatul Asriah,Komisi VIII,,Gerindra,25.028,[Ket. 18]
100,Jawa Barat VII,,drg. Hj. Putih Sari M.Dsc.,Komisi IX,,Gerindra,111.118,Wakil Ketua Komisi IX DPR RI
101,Jawa Barat VII,,Obon Tabroni,Komisi IX,,Gerindra,52.238,
183,Jawa Barat VII,,Dr. Rieke Diah Pitaloka,Komisi VI,,PDI-P,94.201,
